# 月行九道 — Ecliptic latitude β envelope (local extrema)
# DE440 1900–2100, 1-day steps
#
# day         beta(deg)    type
# ----------  -----------  ----  (1=max, -1=min)
   6224.0000     -5.302110  -1
   6237.0000      5.249257   1
   6251.0000     -5.196741  -1
   6264.0000      5.144432   1
   6278.0000     -5.045240  -1
   6291.0000      5.021399   1
   6305.0000     -4.980502  -1
   6318.0000      5.002986   1
   6333.0000     -5.051511  -1
   6346.0000      5.108084   1
   6360.0000     -5.207002  -1
   6373.0000      5.247274   1
   6387.0000     -5.288799  -1
   6400.0000      5.287559   1
   6414.0000     -5.229677  -1
   6427.0000      5.194318   1
   6442.0000     -5.099165  -1
   6455.0000      5.029657   1
   6469.0000     -4.992640  -1
   6482.0000      4.997217   1
   6496.0000     -5.001740  -1
   6509.0000      5.071614   1
   6523.0000     -5.133249  -1
   6536.0000      5.199518   1
   6550.0000     -5.263801  -1
   6563.0000      5.254973   1
   6577.0000     -5.255411  -1
   6591.0000      5.216371   1
   6605.0000     -5.144267  -1
   6618.0000      5.093540   1
   6632.0000     -5.014602  -1
   6645.0000      4.994215   1
   6659.0000     -4.988965  -1
   6672.0000      5.001827   1
   6686.0000     -5.093367  -1
   6700.0000      5.164409   1
   6713.0000     -5.228765  -1
   6727.0000      5.271791   1
   6740.0000     -5.266720  -1
   6754.0000      5.253043   1
   6768.0000     -5.200472  -1
   6781.0000      5.121365   1
   6795.0000     -5.077611  -1
   6809.0000      5.009819   1
   6822.0000     -4.992621  -1
   6836.0000      5.008715   1
   6849.0000     -5.033186  -1
   6863.0000      5.107150   1
   6876.0000     -5.169339  -1
   6890.0000      5.210429   1
   6903.0000     -5.269570  -1
   6918.0000      5.278881   1
   6931.0000     -5.248997  -1
   6945.0000      5.197265   1
   6958.0000     -5.129778  -1
   6972.0000      5.055920   1
   6985.0000     -5.006515  -1
   6999.0000      4.988379   1
   7012.0000     -5.010430  -1
   7027.0000      5.052698   1
   7039.0000     -5.129535  -1
   7054.0000      5.220115   1
   7066.0000     -5.238520  -1
   7081.0000      5.289904   1
   7094.0000     -5.278143  -1
   7108.0000      5.221664   1
   7121.0000     -5.193120  -1
   7136.0000      5.084234   1
   7148.0000     -5.046871  -1
   7163.0000      4.997947   1
   7175.0000     -4.969517  -1
   7190.0000      5.026891   1
   7203.0000     -5.051155  -1
   7217.0000      5.153913   1
   7230.0000     -5.201457  -1
