# 月行九道 — Ecliptic node crossings (β = 0)
# DE440 1900–2100, linear interpolation between 1-day steps
# Frame: SOFA IAU 2006 mean ecliptic/equinox of date
#
# day          lambda(deg)   type
# ----------   -----------   ----  (A=ascending, D=descending)
   6829.4097    257.342947  A
   6841.9262     76.153582  D
   6856.4607    254.596201  A
   6869.1316     73.881653  D
   6883.5806    253.165487  A
   6896.5244     73.034356  D
   6910.8292    253.022777  A
   6923.9722     73.062149  D
   6938.1448    252.993771  A
   6951.2987     72.570721  D
   6965.4017    251.697208  A
   6978.4090     70.566221  D
   6992.5327    248.913590  A
   7005.4208     67.549373  D
   7019.5990    245.922993  A
   7032.5519     65.011304  D
   7046.7207    244.156468  A
   7059.8859     63.905616  D
   7073.9406    243.792384  A
   7087.3353     63.861432  D
   7101.2098    243.890880  A
   7114.7338     63.646336  D
   7128.4477    243.245885  A
   7141.9702     62.367711  D
   7155.6021    241.237283  A
   7169.0342     59.864753  D
   7182.6912    238.339677  A
   7196.0705     57.081679  D
   7209.8015    235.884658  A
   7223.2645     55.281281  D
   7237.0000    234.836360  A
   7250.6595     54.793613  D
   7264.2638    234.859432  A
   7278.1424     54.830369  D
   7291.5036    234.654007  A
   7305.5099     53.910089  D
   7318.6467    233.028944  A
   7332.6503     51.461282  D
   7345.7171    230.049026  A
   7359.6593     48.404803  D
   7372.8306    227.190253  A
   7386.7647     46.268376  D
   7400.0564    225.764081  A
   7414.0744     45.619717  D
   7427.3465    225.607009  A
   7441.5046     45.641753  D
   7454.6034    225.600636  A
   7468.9097     45.152928  D
   7481.7645    224.630344  A
   7496.1606     43.411259  D
   7508.8407    222.316108  A
   7523.2383     40.634113  D
   7535.9264    219.411564  A
   7550.2740     38.050436  D
   7563.1246    217.263937  A
   7577.4348     36.699534  D
   7590.4364    216.509147  A
   7604.7758     36.518761  D
   7617.7620    216.570097  A
   7632.2070     36.456719  D
   7644.9840    216.134123  A
   7659.5500     35.113369  D
   7672.0594    214.162824  A
   7686.6966     32.270518  D
   7699.0981    211.025769  A
   7713.7189     29.224230  D
   7726.2738    208.346237  A
   7740.8137     27.460704  D
   7753.6116    207.197675  A
   7768.0746     27.138078  D
   7780.9943    207.174175  A
   7795.4327     27.176091  D
   7808.2898    207.000546  A
   7822.7668     26.359941  D
   7835.4265    205.645393  A
   7849.9777     24.199890  D
   7862.4660    203.065779  A
   7877.0578     21.311150  D
   7889.5604    200.258052  A
   7904.1193     19.003551  D
   7916.8214    198.458683  A
   7931.2797     18.057937  D
   7944.2281    198.028900  A
   7958.5613     18.067537  D
   7971.6340    198.044854  A
   7985.8893     17.819018  D
   7998.8912    197.265375  A
   8013.1395     16.170075  D
   8025.9539    194.952242  A
   8040.2491     13.141772  D
   8052.9743    191.825810  A
   8067.3051     10.258543  D
   8080.1717    189.526177  A
   8094.4400      8.852922  D
   8107.5708    188.737941  A
   8121.6821      8.736746  D
   8135.0294    188.774955  A
   8148.9617      8.702347  D
   8162.3780    188.295073  A
   8176.1863      7.595266  D
   8189.5318    186.507649  A
   8203.3171      5.152630  D
   8216.5626    183.770117  A
   8230.4025      2.302747  D
   8243.6480    181.253128  A
   8257.5318      0.329274  D
   8270.9164    179.942257  A
   8284.7460    359.714457  D
   8298.3488    179.775912  A
   8312.0097    359.821391  D
   8325.7976    179.656374  A
   8339.2410    359.374220  D
   8353.1034    178.478891  A
   8366.3770    357.404811  D
   8380.1883    175.820349  A
   8393.4499    354.289103  D
   8407.1984    172.812374  A
   8420.5746    351.635043  D
   8434.3641    170.958947  A
   8447.8077    350.557050  D
   8461.7426    170.529860  A
   8475.0899    350.598819  D
   8489.2096    170.562792  A
   8502.3206    350.391837  D
   8516.5767    169.654848  A
   8529.4492    348.906149  D
   8543.7522    167.401747  A
   8556.5194    346.207786  D
   8570.7900    164.549433  A
   8583.6368    343.443472  D
   8597.8623    162.374325  A
   8610.8660    341.803515  D
   8625.0978    161.534449  A
   8638.1775    341.469678  D
   8652.4815    161.523722  A
   8665.4700    341.533202  D
   8679.9019    161.211826  A
   8692.6519    340.775534  D
   8707.2006    159.576008  A
   8719.7130    338.484496  D
   8734.3003    156.600585  A
   8746.7734    335.315536  D
   8761.3187    153.735466  A
   8773.9805    332.929774  D
   8788.4551    152.302412  A
   8801.3386    332.150164  D
   8815.7722    152.158343  A
   8828.6992    332.199719  D
   8843.1692    152.079188  A
   8855.9341    331.724904  D
   8870.4850    150.776264  A
   8883.0161    329.861528  D
   8897.6419    148.143150  A
   8910.0570    326.991163  D
   8924.6933    145.280150  A
   8937.2141    324.428390  D
   8951.7795    143.445926  A
   8964.5337    323.132532  D
   8978.9906    142.951177  A
   8991.9355    322.973375  D
   9006.3032    143.040713  A
   9019.2914    322.931671  D
   9033.6255    142.485347  A
   9046.4819    321.806020  D
   9060.8502    140.469691  A
   9073.5184    319.242660  D
   9087.9399    137.386438  A
   9100.5722    316.186344  D
   9114.9976    134.779743  A
   9127.8214    314.176509  D
   9142.1545    133.732745  A
   9155.2580    313.718192  D
   9169.4239    133.765559  A
   9182.6992    313.709359  D
   9196.7156    133.490214  A
   9209.9818    312.874280  D
   9223.9286    131.853659  A
   9237.0662    310.636369  D
   9251.0371    129.036985  A
   9264.0919    307.749398  D
   9278.1194    126.335144  A
   9291.2497    305.562153  D
   9305.2675    124.870380  A
   9318.5948    304.683738  D
   9332.4972    124.627874  A
   9346.0451    304.684217  D
   9359.7572    124.678871  A
   9373.4473    304.379971  D
   9386.9732    123.868915  A
   9400.6726    302.807908  D
   9414.0992    121.596805  A
   9427.7176    300.019536  D
   9441.1783    118.532351  A
   9454.7558    297.224585  D
   9468.3163    116.228605  A
   9481.9860    295.734147  D
   9495.5550    115.481537  A
   9509.4173    295.537386  D
   9522.8295    115.580199  A
   9536.8851    295.398505  D
   9550.0418    115.093084  A
   9564.2046    294.122922  D
   9577.1506    113.109995  A
   9591.3082    291.473284  D
   9604.2231    110.132896  A
   9618.3298    288.633357  D
   9631.3699    107.613514  A
   9645.4614    286.860764  D
   9658.6221    106.471373  A
   9672.7732    286.380325  D
   9685.9190    106.410871  A
   9700.1975    286.447235  D
   9713.1718    106.357746  A
   9727.5868    285.797513  D
   9740.3149    105.204305  A
   9754.8226    283.767493  D
   9767.3725    102.646911  A
   9781.8842    280.788891  D
   9794.4664     99.622425  A
   9808.9203    278.269837  D
   9821.7042     97.616625  A
   9836.1094    277.225076  D
   9849.0584     97.148527  A
   9863.4716    277.213029  D
   9876.3929     97.219050  A
   9890.8825    276.882866  D
   9903.5805     96.396601  A
   9918.1717    275.147625  D
   9930.6296     94.044665  A
   9945.2761    272.181742  D
   9957.6895     90.977185  A
   9972.3122    269.454322  D
   9984.9010     88.715242  A
   9999.4380    268.074196  D
  10012.2617     87.922907  A
  10026.7037    267.885255  D
  10039.6446     87.926695  A
  10054.0506    267.892146  D
  10066.9285     87.628280  A
  10081.3593    266.936486  D
  10094.0538     86.108510  A
  10108.5447    264.562346  D
  10121.0827     83.366828  A
  10135.6132    261.554661  D
  10148.1904     80.556732  A
  10162.6834    259.356785  D
  10175.4952     78.950013  A
  10189.8681    258.658540  D
  10202.9382     78.687545  A
  10217.1627    258.770611  D
  10230.3509     78.644942  A
  10244.4601    258.224196  D
  10257.5691     77.421583  A
  10271.6544    256.114302  D
  10284.6052     74.768796  A
  10298.7390    253.027015  D
  10311.6522     71.812433  A
  10325.8222    250.536523  D
  10338.8836     69.962898  A
  10352.9951    249.533268  D
  10366.2934     69.514713  A
  10380.2473    249.544660  D
  10393.7343     69.507943  A
  10407.5087    249.402406  D
  10421.0686     68.893100  A
  10434.7081    248.115494  D
  10448.2136     66.957844  A
  10461.8221    245.541513  D
  10475.2385     64.133288  A
  10488.9093    242.675434  D
  10502.3318     61.687423  A
  10516.0614    240.859357  D
  10529.6281     60.556054  A
  10543.3020    240.449471  D
  10557.0913     60.518762  A
  10570.5654    240.535348  D
