# 月行九道 — Ecliptic node crossings (β = 0)
# DE440 1900–2100, linear interpolation between 1-day steps
# Frame: fixed J2000 mean ecliptic approximation
#
# day          lambda(deg)   type
# ----------   -----------   ----  (A=ascending, D=descending)
   6814.8888     80.364485  D
   6829.4193    258.597453  A
   6841.9348     77.408214  D
   6856.4703    255.847226  A
   6869.1398     75.131505  D
   6883.5899    254.412302  A
   6896.5321     74.279402  D
   6910.8384    254.267540  A
   6923.9800     74.307434  D
   6938.1539    254.238569  A
   6951.3068     73.815516  D
   6965.4110    252.942285  A
   6978.4174     71.811355  D
   6992.5423    250.157791  A
   7005.4289     68.792256  D
   7019.6085    247.163479  A
   7032.5595     66.249467  D
   7046.7299    245.392464  A
   7059.8931     65.140551  D
   7073.9497    245.025935  A
   7087.3423     65.093285  D
   7101.2187    245.123072  A
   7114.7411     64.878441  D
   7128.4568    244.478090  A
   7141.9779     63.601327  D
   7155.6113    242.468976  A
   7169.0419     61.096710  D
   7182.7002    239.568307  A
   7196.0779     58.308935  D
   7209.8102    237.108465  A
   7223.2713     56.502495  D
   7237.0085    236.056324  A
   7250.6660     56.011291  D
   7264.2722    236.076780  A
   7278.1490     56.048013  D
   7291.5121    235.871155  A
   7305.5167     55.127085  D
   7318.6552    234.245732  A
   7332.6574     52.676793  D
   7345.7253    231.262659  A
   7359.6662     49.615596  D
   7372.8383    228.398578  A
   7386.7710     47.473803  D
   7400.0638    226.967670  A
   7414.0805     46.821930  D
   7427.3538    226.807566  A
   7441.5105     46.841636  D
   7454.6108    226.800687  A
   7468.9160     46.353563  D
   7481.7719    225.830125  A
   7496.1668     44.610223  D
   7508.8479    223.513450  A
   7523.2445     41.828579  D
   7535.9331    220.603947  A
   7550.2799     39.238931  D
   7563.1309    218.450227  A
   7577.4404     37.883000  D
   7590.4423    217.691238  A
   7604.7811     37.700264  D
   7617.7680    217.751229  A
   7632.2123     37.637741  D
   7644.9902    217.315402  A
   7659.5555     36.292722  D
   7672.0655    215.341654  A
   7686.7021     33.445685  D
   7699.1036    212.198757  A
   7713.7241     30.392857  D
   7726.2787    209.512187  A
   7740.8186     28.624047  D
   7753.6161    208.359145  A
   7768.0792     28.298990  D
   7780.9988    208.334845  A
   7795.4372     28.335627  D
   7808.2944    208.159915  A
   7822.7715     27.518461  D
   7835.4311    206.802600  A
   7849.9824     25.355188  D
   7862.4703    204.218131  A
   7877.0621     22.460162  D
   7889.5641    201.403892  A
   7904.1232     20.146268  D
   7916.8246    199.599462  A
   7931.2833     19.196698  D
   7944.2312    199.166869  A
   7958.5649     19.204854  D
   7971.6372    199.181799  A
   7985.8930     18.955739  D
   7998.8944    198.401148  A
   8013.1429     17.303707  D
   8025.9569    196.083651  A
   8040.2522     14.268873  D
   8052.9768    192.950227  A
   8067.3078     11.378572  D
   8080.1738    190.644091  A
   8094.4424      9.968511  D
   8107.5727    189.852536  A
   8121.6844      9.850781  D
   8135.0314    189.888900  A
   8148.9641      9.815700  D
   8162.3799    189.407151  A
   8176.1885      8.705914  D
   8189.5335    187.615822  A
   8203.3189      6.257779  D
   8216.5640    184.872059  A
   8230.4039      3.401158  D
   8243.6489    182.348886  A
   8257.5328      1.422518  D
   8270.9172    181.034259  A
   8284.7469      0.805299  D
   8298.3495    180.866222  A
   8312.0106      0.911435  D
