# 月行九道 — Ecliptic latitude β envelope (local extrema)
# DE440 1900–2100, 1-day steps
# Frame: SOFA IAU 2006 mean ecliptic/equinox of date
#
# day         beta(deg)    type
# ----------  -----------  ----  (1=max, -1=min)
   4835.0000     -5.291136  -1
   4850.0000      5.246933   1
   4862.0000     -5.183963  -1
   4877.0000      5.130975   1
   4890.0000     -5.065499  -1
   4904.0000      5.022989   1
   4917.0000     -5.001873  -1
   4931.0000      5.016233   1
   4944.0000     -5.055916  -1
   4958.0000      5.100386   1
   4971.0000     -5.185863  -1
   4986.0000      5.252139   1
   4998.0000     -5.275392  -1
   5013.0000      5.292688   1
   5026.0000     -5.247863  -1
   5040.0000      5.191316   1
   5053.0000     -5.143468  -1
   5067.0000      5.038370   1
   5080.0000     -5.014821  -1
   5094.0000      4.964091   1
   5107.0000     -4.999541  -1
   5122.0000      5.065407   1
   5134.0000     -5.108314  -1
   5149.0000      5.226169   1
   5162.0000     -5.252617  -1
   5176.0000      5.285399   1
   5189.0000     -5.283978  -1
   5204.0000      5.206487   1
   5216.0000     -5.172105  -1
   5231.0000      5.079953   1
   5244.0000     -5.008034  -1
   5258.0000      4.992766   1
   5271.0000     -4.997453  -1
   5285.0000      5.029213   1
   5298.0000     -5.087999  -1
   5312.0000      5.156870   1
   5325.0000     -5.214181  -1
   5339.0000      5.254959   1
   5352.0000     -5.267245  -1
   5367.0000      5.255281   1
   5380.0000     -5.204490  -1
   5394.0000      5.154929   1
   5407.0000     -5.095904  -1
   5421.0000      5.021005   1
   5434.0000     -4.997606  -1
   5448.0000      4.989078   1
   5461.0000     -5.008649  -1
   5475.0000      5.094890   1
   5489.0000     -5.154820  -1
   5502.0000      5.227351   1
   5516.0000     -5.273471  -1
   5530.0000      5.264980   1
   5543.0000     -5.250510  -1
   5557.0000      5.188354   1
   5570.0000     -5.108804  -1
   5584.0000      5.049155   1
   5598.0000     -4.985024  -1
   5611.0000      4.985247   1
   5625.0000     -5.015467  -1
   5638.0000      5.049343   1
   5652.0000     -5.126612  -1
   5665.0000      5.176490   1
   5679.0000     -5.223775  -1
   5693.0000      5.253901   1
   5707.0000     -5.254308  -1
   5720.0000      5.247750   1
   5734.0000     -5.186878  -1
   5747.0000      5.121380   1
   5761.0000     -5.059563  -1
   5774.0000      4.996600   1
   5788.0000     -4.989586  -1
   5801.0000      4.996091   1
   5816.0000     -5.041039  -1
   5828.0000      5.117759   1
   5843.0000     -5.219387  -1
   5856.0000      5.246601   1
   5870.0000     -5.292550  -1
   5883.0000      5.281208   1
   5897.0000     -5.213717  -1
   5910.0000      5.164575   1
   5924.0000     -5.055927  -1
   5937.0000      5.012744   1
   5952.0000     -4.988423  -1
   5965.0000      4.978347   1
   5979.0000     -5.049811  -1
   5992.0000      5.079255   1
   6006.0000     -5.178076  -1
   6019.0000      5.223886   1
   6033.0000     -5.251621  -1
   6046.0000      5.296670   1
   6061.0000     -5.267100  -1
   6073.0000      5.226594   1
   6088.0000     -5.161212  -1
   6101.0000      5.083932   1
   6115.0000     -5.035118  -1
   6128.0000      5.004579   1
   6142.0000     -5.006351  -1
   6155.0000      5.042176   1
   6169.0000     -5.096557  -1
   6182.0000      5.177667   1
   6197.0000     -5.245131  -1
   6209.0000      5.279529   1
   6224.0000     -5.297411  -1
   6237.0000      5.243541   1
   6251.0000     -5.192606  -1
   6264.0000      5.139588   1
   6278.0000     -5.041631  -1
   6291.0000      5.017662   1
   6305.0000     -4.977519  -1
   6318.0000      5.000296   1
   6333.0000     -5.047039  -1
   6346.0000      5.103665   1
   6360.0000     -5.203338  -1
   6373.0000      5.243438   1
   6387.0000     -5.285919  -1
   6400.0000      5.284298   1
   6414.0000     -5.227471  -1
   6427.0000      5.191854   1
   6442.0000     -5.095354  -1
   6455.0000      5.025614   1
   6469.0000     -4.989344  -1
   6482.0000      4.994367   1
   6496.0000     -4.999019  -1
   6509.0000      5.069916   1
   6523.0000     -5.131220  -1
   6536.0000      5.198666   1
   6550.0000     -5.262540  -1
   6563.0000      5.254726   1
   6577.0000     -5.254911  -1
   6591.0000      5.214133   1
   6605.0000     -5.142259  -1
   6618.0000      5.092231   1
   6632.0000     -5.013193  -1
   6645.0000      4.994181   1
   6659.0000     -4.988116  -1
   6672.0000      5.003077   1
   6686.0000     -5.093098  -1
   6700.0000      5.163923   1
   6713.0000     -5.229141  -1
   6727.0000      5.272056   1
   6740.0000     -5.267813  -1
   6754.0000      5.253902   1
   6768.0000     -5.200092  -1
   6781.0000      5.122926   1
   6795.0000     -5.077938  -1
   6809.0000      5.009607   1
   6822.0000     -4.993578  -1
   6836.0000      5.009714   1
   6849.0000     -5.034699  -1
   6863.0000      5.109382   1
   6876.0000     -5.171391  -1
   6890.0000      5.213598   1
   6903.0000     -5.272243  -1
   6918.0000      5.280192   1
   6931.0000     -5.250212  -1
   6945.0000      5.199142   1
   6958.0000     -5.131833  -1
   6972.0000      5.058513   1
   6985.0000     -5.009374  -1
   6999.0000      4.991961   1
   7012.0000     -5.013935  -1
   7027.0000      5.054845   1
   7039.0000     -5.133551  -1
   7054.0000      5.223316   1
   7066.0000     -5.243050  -1
   7081.0000      5.293860   1
   7094.0000     -5.281150  -1
   7108.0000      5.226157   1
   7121.0000     -5.196923  -1
   7136.0000      5.086953   1
   7148.0000     -5.051538  -1
   7163.0000      5.001324   1
   7175.0000     -4.974953  -1
   7190.0000      5.031117   1
   7203.0000     -5.055058  -1
   7217.0000      5.159057   1
   7230.0000     -5.205877  -1
   7244.0000      5.258643   1
   7257.0000     -5.301842  -1
   7272.0000      5.278518   1
   7284.0000     -5.245676  -1
   7299.0000      5.167234   1
   7312.0000     -5.079302  -1
   7326.0000      5.031098   1
   7339.0000     -5.003487  -1
   7353.0000      5.006915   1
   7366.0000     -5.047549  -1
   7380.0000      5.108348   1
   7393.0000     -5.177954  -1
   7408.0000      5.225693   1
   7420.0000     -5.267487  -1
   7435.0000      5.290373   1
   7448.0000     -5.244771  -1
   7462.0000      5.208717   1
   7475.0000     -5.155242  -1
   7489.0000      5.068133   1
   7502.0000     -5.032919  -1
   7516.0000      4.988367   1
   7529.0000     -4.985613  -1
   7543.0000      5.030246   1
   7557.0000     -5.087357  -1
   7571.0000      5.158845   1
   7584.0000     -5.234639  -1
   7598.0000      5.280607   1
   7611.0000     -5.288645  -1
   7625.0000      5.253583   1
   7638.0000     -5.195429  -1
   7652.0000      5.104651   1
   7666.0000     -5.031525  -1
   7679.0000      4.976191   1
   7693.0000     -4.995692  -1
   7706.0000      4.983550   1
   7720.0000     -5.073576  -1
   7734.0000      5.118308   1
   7747.0000     -5.191874  -1
   7761.0000      5.258550   1
   7775.0000     -5.256431  -1
   7788.0000      5.271143   1
   7802.0000     -5.226473  -1
   7815.0000      5.149113   1
   7829.0000     -5.107042  -1
   7843.0000      5.020347   1
   7856.0000     -5.001138  -1
   7870.0000      4.979806   1
   7884.0000     -4.996481  -1
   7897.0000      5.062140   1
   7911.0000     -5.149684  -1
   7924.0000      5.207669   1
   7938.0000     -5.268473  -1
   7951.0000      5.289000   1
   7965.0000     -5.261996  -1
   7978.0000      5.216968   1
   7993.0000     -5.129172  -1
   8006.0000      5.083219   1
   8020.0000     -5.020421  -1
   8033.0000      4.991350   1
   8047.0000     -5.011151  -1
   8060.0000      5.035717   1
   8074.0000     -5.115914  -1
   8087.0000      5.181078   1
   8102.0000     -5.225433  -1
   8114.0000      5.287560   1
   8129.0000     -5.289947  -1
   8141.0000      5.243797   1
   8156.0000     -5.207410  -1
   8169.0000      5.142785   1
   8183.0000     -5.072036  -1
   8196.0000      5.031292   1
   8210.0000     -4.998505  -1
   8223.0000      5.016571   1
   8238.0000     -5.034294  -1
   8250.0000      5.114680   1
   8265.0000     -5.198602  -1
   8277.0000      5.233873   1
   8292.0000     -5.295178  -1
   8305.0000      5.281571   1
   8319.0000     -5.248066  -1
   8332.0000      5.221497   1
   8347.0000     -5.106433  -1
   8359.0000      5.069343   1
   8374.0000     -4.996954  -1
   8386.0000      4.971920   1
   8401.0000     -5.017593  -1
   8414.0000      5.052709   1
   8428.0000     -5.157807  -1
   8441.0000      5.209502   1
   8455.0000     -5.269189  -1
   8468.0000      5.299226   1
   8483.0000     -5.265534  -1
   8495.0000      5.239698   1
   8510.0000     -5.164082  -1
   8523.0000      5.080345   1
   8537.0000     -5.036960  -1
   8550.0000      5.011145   1
   8564.0000     -5.003422  -1
   8577.0000      5.038152   1
   8591.0000     -5.089797  -1
   8604.0000      5.147706   1
   8618.0000     -5.209848  -1
   8631.0000      5.239966   1
   8646.0000     -5.275817  -1
   8659.0000      5.257944   1
   8673.0000     -5.229005  -1
   8686.0000      5.173573   1
   8700.0000     -5.086672  -1
   8713.0000      5.034714   1
   8727.0000     -4.987659  -1
   8740.0000      4.965149   1
   8754.0000     -5.028134  -1
   8768.0000      5.093222   1
   8781.0000     -5.161827  -1
   8795.0000      5.241328   1
   8809.0000     -5.264870  -1
   8822.0000      5.280358   1
   8836.0000     -5.252614  -1
   8849.0000      5.174405   1
   8863.0000     -5.118689  -1
   8877.0000      5.043503   1
   8890.0000     -4.999027  -1
   8904.0000      5.002865   1
   8917.0000     -4.997388  -1
   8931.0000      5.062110   1
   8944.0000     -5.102636  -1
   8958.0000      5.162907   1
   8972.0000     -5.225062  -1
   8986.0000      5.266542   1
   8999.0000     -5.281624  -1
   9013.0000      5.250471   1
   9026.0000     -5.194699  -1
   9040.0000      5.126999   1
   9053.0000     -5.040797  -1
   9067.0000      5.000138   1
   9080.0000     -4.963848  -1
   9095.0000      4.993883   1
   9108.0000     -5.037275  -1
   9122.0000      5.151888   1
   9135.0000     -5.197384  -1
   9149.0000      5.273155   1
   9162.0000     -5.295620  -1
   9176.0000      5.254594   1
   9189.0000     -5.234772  -1
   9204.0000      5.141190   1
   9217.0000     -5.070040  -1
   9231.0000      5.029496   1
   9244.0000     -4.993273  -1
   9258.0000      5.014964   1
   9271.0000     -5.032763  -1
   9285.0000      5.107390   1
   9298.0000     -5.164190  -1
   9313.0000      5.207895   1
   9325.0000     -5.278944  -1
   9340.0000      5.293385   1
   9352.0000     -5.271569  -1
   9367.0000      5.231454   1
   9380.0000     -5.161933  -1
   9394.0000      5.091639   1
   9407.0000     -5.045705  -1
   9421.0000      4.996034   1
   9434.0000     -5.006880  -1
   9448.0000      5.024369   1
   9461.0000     -5.098344  -1
   9476.0000      5.181158   1
   9488.0000     -5.228670  -1
   9503.0000      5.296278   1
   9516.0000     -5.277220  -1
   9530.0000      5.250656   1
   9543.0000     -5.214950  -1
   9557.0000      5.098047   1
   9570.0000     -5.065882  -1
   9585.0000      4.987072   1
   9597.0000     -4.970279  -1
   9612.0000      5.004720   1
   9625.0000     -5.051148  -1
   9639.0000      5.135526   1
   9652.0000     -5.195121  -1
   9666.0000      5.258035   1
   9679.0000     -5.284605  -1
   9693.0000      5.260101   1
   9706.0000     -5.244378  -1
   9721.0000      5.176313   1
   9734.0000     -5.099549  -1
   9748.0000      5.046439   1
   9761.0000     -5.015201  -1
   9775.0000      4.985581   1
   9788.0000     -5.017885  -1
   9802.0000      5.060953   1
   9815.0000     -5.119237  -1
   9829.0000      5.205431   1
   9843.0000     -5.226674  -1
   9856.0000      5.266951   1
   9870.0000     -5.264932  -1
   9884.0000      5.216769   1
   9897.0000     -5.164854  -1
   9911.0000      5.079066   1
   9924.0000     -5.020899  -1
   9938.0000      4.987248   1
