# 月行九道 — Ecliptic trajectory (λ, β)
# DE440 1900–2100, 1-day steps
# Frame: fixed J2000 mean ecliptic approximation
#
# day          lambda(deg)   beta(deg)
    333.0000    342.216262      5.222398
    334.0000    356.394045      4.864187
    335.0000     10.770656      4.199328
    336.0000     25.293983      3.260457
    337.0000     39.890351      2.105857
    338.0000     54.468545      0.815921
    339.0000     68.928548     -0.515671
    340.0000     83.173499     -1.794451
    341.0000     97.122117     -2.937695
    342.0000    110.718582     -3.883174
    343.0000    123.937862     -4.592187
    344.0000    136.786057     -5.047470
    345.0000    149.296781     -5.248166
    346.0000    161.525271     -5.204221
    347.0000    173.541768     -4.931789
    348.0000    185.425230     -4.450362
    349.0000    197.257813     -3.781630
    350.0000    209.120108     -2.949803
    351.0000    221.086951     -1.982938
    352.0000    233.223577     -0.914773
    353.0000    245.582060      0.213572
    354.0000    258.198213      1.352705
    355.0000    271.089395      2.445619
    356.0000    284.253871      3.430357
    357.0000    297.672298      4.244682
    358.0000    311.311549      4.832069
    359.0000    325.130370      5.147823
    360.0000    339.085631      5.164062
    361.0000    353.137539      4.872757
    362.0000      7.252348      4.286746
    363.0000     21.401925      3.439110
    364.0000     35.560531      2.381306
    365.0000     49.700119      1.180125
    366.0000     63.785968     -0.086872
    367.0000     77.774520     -1.337663
    368.0000     91.614678     -2.493453
    369.0000    105.252803     -3.486452
    370.0000    118.640305     -4.265926
    371.0000    131.741781     -4.801056
    372.0000    144.541560     -5.080233
    373.0000    157.047176     -5.107618
    374.0000    169.289540     -4.898472
    375.0000    181.320433     -4.474702
    376.0000    193.208398     -3.861591
    377.0000    205.033941     -3.086077
    378.0000    216.884529     -2.176567
    379.0000    228.849447     -1.163989
    380.0000    241.014257     -0.083692
    381.0000    253.454525      1.022401
    382.0000    266.228679      2.104156
    383.0000    279.370465      3.103161
    384.0000    292.882306      3.955284
    385.0000    306.731779      4.596467
    386.0000    320.853635      4.971226
    387.0000    335.158640      5.041867
    388.0000    349.548021      4.795510
    389.0000      3.929579      4.246578
    390.0000     18.230521      3.434265
    391.0000     32.403495      2.416487
    392.0000     46.425228      1.262653
    393.0000     60.289726      0.047063
    394.0000     73.999126     -1.156409
    395.0000     87.555180     -2.278588
    396.0000    100.953468     -3.258698
    397.0000    114.181492     -4.047679
    398.0000    127.220700     -4.610807
    399.0000    140.051561     -4.929038
    400.0000    152.660080     -4.998651
    401.0000    165.043997     -4.829204
    402.0000    177.217258     -4.440356
    403.0000    189.212137     -3.858393
    404.0000    201.079093     -3.113254
    405.0000    212.884865     -2.236606
    406.0000    224.709358     -1.261181
    407.0000    236.641596     -0.221322
    408.0000    248.774645      0.845516
    409.0000    261.199113      1.896765
    410.0000    273.994679      2.882948
    411.0000    287.219501      3.747161
    412.0000    300.898329      4.427174
    413.0000    315.011880      4.861330
    414.0000    329.491722      4.998335
    415.0000    344.225129      4.808846
    416.0000    359.071573      4.294721
    417.0000     13.887142      3.491625
    418.0000     28.548789      2.463443
    419.0000     42.970343      1.290940
    420.0000     57.106748      0.059327
    421.0000     70.948280     -1.151419
    422.0000     84.509338     -2.272104
    423.0000     97.816340     -3.246476
    424.0000    110.897707     -4.031480
    425.0000    123.777343     -4.596890
    426.0000    136.471883     -4.924914
    427.0000    148.991314     -5.009787
    428.0000    161.342105     -4.857080
    429.0000    173.531753     -4.482455
    430.0000    185.573588     -3.909823
    431.0000    197.490867     -3.169125
    432.0000    209.319551     -2.294137
    433.0000    221.109563     -1.320746
    434.0000    232.924539     -0.286013
    435.0000    244.840196      0.771843
    436.0000    256.941247      1.812607
    437.0000    269.316568      2.792689
    438.0000    282.052063      3.663773
    439.0000    295.220692      4.372413
    440.0000    308.869688      4.861859
    441.0000    323.006451      5.077436
    442.0000    337.586843      4.976050
    443.0000    352.511462      4.538332
    444.0000      7.634868      3.779210
    445.0000     22.788087      2.751369
    446.0000     37.807968      1.538382
    447.0000     52.563108      0.239606
    448.0000     66.968289     -1.046849
    449.0000     80.985695     -2.236876
    450.0000     94.616586     -3.266316
    451.0000    107.888838     -4.091165
    452.0000    120.844692     -4.684745
    453.0000    133.531008     -5.034168
    454.0000    145.992790     -5.137426
    455.0000    158.269817     -5.001444
    456.0000    170.395883     -4.640908
    457.0000    182.400006     -4.077455
    458.0000    194.308942     -3.338858
    459.0000    206.150340     -2.458013
    460.0000    217.955935     -1.471721
    461.0000    229.764283     -0.419452
    462.0000    241.622645      0.657665
    463.0000    253.587739      1.717394
    464.0000    265.725109      2.716418
    465.0000    278.106766      3.609931
    466.0000    290.806684      4.351217
    467.0000    303.893647      4.891885
    468.0000    317.421206      5.183777
    469.0000    331.415256      5.183653
    470.0000    345.861314      4.861238
    471.0000      0.695427      4.209764
    472.0000     15.803720      3.255730
    473.0000     31.033998      2.062742
    474.0000     46.218202      0.725327
    475.0000     61.199216     -0.646766
    476.0000     75.853338     -1.947874
    477.0000     90.102406     -3.091806
    478.0000    103.914671     -4.018981
    479.0000    117.297570     -4.695782
    480.0000    130.286792     -5.109476
    481.0000    142.935174     -5.262085
    482.0000    155.303424     -5.165318
    483.0000    167.453355     -4.837269
    484.0000    179.443568     -4.300723
    485.0000    191.327217     -3.582560
    486.0000    203.151434     -2.713698
    487.0000    214.957993     -1.729120
    488.0000    226.784861     -0.667654
    489.0000    238.668249      0.428587
    490.0000    250.644805      1.515079
    491.0000    262.753542      2.545910
    492.0000    275.037080      3.474782
    493.0000    287.541767      4.255904
    494.0000    300.316225      4.844901
    495.0000    313.407897      5.200098
    496.0000    326.857313      5.284798
    497.0000    340.690143      5.071225
    498.0000    354.907852      4.546500
    499.0000      9.478817      3.720051
    500.0000     24.332820      2.630349
    501.0000     39.362150      1.347364
    502.0000     54.431284     -0.032643
    503.0000     69.394197     -1.400597
    504.0000     84.115105     -2.652483
    505.0000     98.486817     -3.705034
    506.0000    112.441995     -4.504027
    507.0000    125.955727     -5.024202
    508.0000    139.040916     -5.263539
    509.0000    151.739561     -5.235676
    510.0000    164.112955     -4.963279
    511.0000    176.232788     -4.473582
    512.0000    188.174055     -3.796111
    513.0000    200.009885     -2.962096
    514.0000    211.808044     -2.004880
    515.0000    223.628769     -0.960712
    516.0000    235.523659      0.130571
    517.0000    247.535442      1.225363
    518.0000    259.698505      2.276850
    519.0000    272.040073      3.236338
    520.0000    284.581875      4.055258
    521.0000    297.341969      4.687589
    522.0000    310.336310      5.092448
    523.0000    323.579494      5.236728
    524.0000    337.084102      5.097840
    525.0000    350.858248      4.666755
    526.0000      4.901188      3.951469
    527.0000     19.197472      2.980549
    528.0000     33.710828      1.805664
    529.0000     48.379736      0.501222
    530.0000     63.117113     -0.840795
    531.0000     77.815991     -2.121340
    532.0000     92.361361     -3.248136
    533.0000    106.645854     -4.148572
    534.0000    120.585001     -4.777428
    535.0000    134.127845     -5.117613
    536.0000    147.260692     -5.175261
    537.0000    160.004484     -4.972269
    538.0000    172.408026     -4.539176
    539.0000    184.539635     -3.910018
    540.0000    196.479069     -3.119553
    541.0000    208.310638     -2.202482
    542.0000    220.117624     -1.194015
    543.0000    231.977786     -0.131120
    544.0000    243.959617      0.946160
    545.0000    256.119185      1.993862
    546.0000    268.497613      2.964237
    547.0000    281.119525      3.807203
    548.0000    293.992930      4.473224
    549.0000    307.110977      4.917334
    550.0000    320.455609      5.103676
    551.0000    334.002572      5.009708
    552.0000    347.726584      4.629366
    553.0000      1.605157      3.974828
    554.0000     15.619782      3.076935
    555.0000     29.753848      1.984461
    556.0000     43.987715      0.762237
    557.0000     58.292350     -0.512279
    558.0000     72.623761     -1.754561
    559.0000     86.920762     -2.880862
    560.0000    101.107968     -3.817426
    561.0000    115.104293     -4.508955
    562.0000    128.835003     -4.923884
    563.0000    142.243841     -5.054997
    564.0000    155.301765     -4.915706
    565.0000    168.010450     -4.533852
    566.0000    180.400785     -3.945235
    567.0000    192.527975     -3.188550
    568.0000    204.465117     -2.302371
    569.0000    216.296634     -1.324129
    570.0000    228.112181     -0.290585
    571.0000    240.001058      0.760810
    572.0000    252.046814      1.790276
    573.0000    264.321739      2.754415
    574.0000    276.881175      3.605948
    575.0000    289.758118      4.295101
    576.0000    302.959184      4.773094
    577.0000    316.463475      4.997612
    578.0000    330.225714      4.939349
    579.0000    344.183944      4.587987
    580.0000    358.270350      3.955771
    581.0000     12.422250      3.077610
    582.0000     26.589991      2.007832
    583.0000     40.739618      0.814777
    584.0000     54.850179     -0.425326
    585.0000     68.907215     -1.634282
    586.0000     82.894997     -2.737424
    587.0000     96.790162     -3.668797
    588.0000    110.558902     -4.375999
    589.0000    124.158734     -4.824144
    590.0000    137.544475     -4.998032
    591.0000    150.676635     -4.901821
    592.0000    163.529733     -4.556153
    593.0000    176.098369     -3.993542
    594.0000    188.399944     -3.253292
    595.0000    200.474158     -2.377152
    596.0000    212.380166     -1.406445
    597.0000    224.192449     -0.380843
    598.0000    235.996124      0.661433
    599.0000    247.881971      1.682438
    600.0000    259.941010      2.642882
    601.0000    272.258267      3.500690
    602.0000    284.905388      4.210458
    603.0000    297.932241      4.724646
    604.0000    311.358521      4.997254
    605.0000    325.167454      4.990214
    606.0000    339.304489      4.681648
    607.0000    353.683243      4.073704
    608.0000      8.198699      3.196899
    609.0000     22.744407      2.108668
    610.0000     37.228358      0.886160
    611.0000     51.582895     -0.384254
    612.0000     65.766809     -1.617346
    613.0000     79.760914     -2.736852
    614.0000     93.560105     -3.680105
    615.0000    107.165010     -4.400156
    616.0000    120.575574     -4.866435
    617.0000    133.787793     -5.064653
    618.0000    146.793828     -4.996121
    619.0000    159.584882     -4.676333
    620.0000    172.155676     -4.132644
    621.0000    184.509167     -3.401181
    622.0000    196.660398     -2.523380
    623.0000    208.638826     -1.542787
    624.0000    220.488986     -0.502627
    625.0000    232.269720      0.555535
    626.0000    244.052271      1.591998
    627.0000    255.917449      2.568224
    628.0000    267.951818      3.445591
    629.0000    280.242616      4.184127
    630.0000    292.870968      4.741923
    631.0000    305.903114      5.076056
    632.0000    319.379980      5.145954
    633.0000    333.306607      4.919783
    634.0000    347.644410      4.383395
    635.0000      2.310109      3.549585
    636.0000     17.184127      2.463740
    637.0000     32.127917      1.202062
    638.0000     47.005546     -0.138633
    639.0000     61.702800     -1.456294
    640.0000     76.138598     -2.658541
    641.0000     90.267316     -3.672524
    642.0000    104.074024     -4.448467
    643.0000    117.566098     -4.958446
    644.0000    130.764314     -5.192911
